date,product_id,quantity,discount
2025-08-19,P155,3,0
2025-08-19,P179,0,10
2025-08-19,P198,3,5
2025-08-19,P130,1,10
2025-08-19,P149,3,5
2025-08-19,P134,1,5
2025-08-19,P125,1,5
2025-08-19,P141,0,10
2025-08-19,P151,4,0
2025-08-19,P194,2,10
2025-08-19,P158,0,0
2025-08-19,P144,6,0
2025-08-19,P161,4,5
2025-08-19,P196,0,0
2025-08-19,P107,1,5
2025-08-19,P198,1,5
2025-08-19,P173,3,10
2025-08-19,P107,4,0
2025-08-19,P176,3,5
2025-08-19,P155,0,0
2025-08-19,P158,3,5
2025-08-19,P132,2,0
2025-08-19,P155,4,5
2025-08-19,P138,0,5
2025-08-19,P182,4,0
2025-08-19,P144,6,0
2025-08-19,P114,5,5
2025-08-19,P121,3,10
2025-08-19,P169,6,0
2025-08-19,P153,0,10
2025-08-19,P159,1,0
2025-08-19,P166,0,0
2025-08-19,P100,0,10
2025-08-19,P176,2,10
2025-08-19,P111,3,0
2025-08-19,P190,1,5
2025-08-19,P190,2,0
2025-08-19,P170,2,5
2025-08-19,P139,4,5
2025-08-19,P159,4,0
2025-08-19,P106,2,0
2025-08-19,P147,5,0
2025-08-19,P185,1,10
2025-08-19,P124,6,0
2025-08-19,P189,6,0
2025-08-19,P195,3,0
2025-08-19,P128,0,10
2025-08-19,P116,1,0
2025-08-19,P193,0,0
2025-08-19,P107,2,10
2025-08-19,P126,2,0
2025-08-19,P108,0,0
2025-08-19,P191,0,0
2025-08-19,P177,2,10
2025-08-19,P112,2,10
2025-08-19,P117,4,0
2025-08-19,P120,0,5
2025-08-19,P174,0,0
2025-08-19,P150,1,0
2025-08-19,P178,4,10
2025-08-19,P136,6,10
2025-08-19,P174,3,10
2025-08-19,P192,1,5
2025-08-19,P172,4,0
2025-08-19,P194,4,5
2025-08-19,P112,1,10
2025-08-19,P121,6,0
2025-08-19,P101,2,0
2025-08-19,P173,4,10
2025-08-19,P133,7,5
2025-08-19,P190,7,5
2025-08-19,P197,2,10
2025-08-19,P122,2,10
2025-08-19,P138,2,0
2025-08-19,P130,5,0
2025-08-19,P136,0,0
2025-08-19,P148,1,5
2025-08-19,P188,6,10
2025-08-19,P155,5,0
2025-08-19,P112,6,10
2025-08-19,P192,2,0
2025-08-19,P111,3,10
2025-08-19,P116,6,5
2025-08-19,P137,0,0
2025-08-19,P130,0,10
2025-08-19,P121,1,10
2025-08-19,P144,2,0
2025-08-19,P128,6,0
2025-08-19,P163,4,10
2025-08-19,P141,1,0
2025-08-19,P148,2,0
2025-08-19,P160,0,0
2025-08-19,P105,0,0
2025-08-19,P185,3,10
2025-08-19,P191,2,0
2025-08-19,P111,2,5
2025-08-19,P114,5,0
2025-08-19,P185,4,10
2025-08-19,P113,5,5
2025-08-19,P119,2,5
2025-08-19,P126,4,5
2025-08-19,P122,6,5
2025-08-19,P103,2,0
2025-08-19,P128,1,5
2025-08-19,P164,2,0
2025-08-19,P175,0,0
2025-08-19,P118,3,0
2025-08-19,P131,2,10
2025-08-19,P125,2,0
2025-08-19,P198,3,0
2025-08-19,P147,3,5
2025-08-19,P112,3,5
2025-08-19,P166,2,0
2025-08-19,P105,0,0
2025-08-19,P140,3,0
2025-08-19,P170,0,0
2025-08-19,P181,0,0
2025-08-19,P109,6,0
2025-08-19,P147,5,5
2025-08-19,P168,4,10
2025-08-19,P149,2,5
2025-08-19,P199,1,5
2025-08-19,P114,2,10
2025-08-19,P152,2,5
2025-08-19,P184,3,0
2025-08-19,P185,2,5
2025-08-19,P109,2,10
2025-08-19,P118,3,0
2025-08-19,P143,3,10
2025-08-19,P116,3,10
2025-08-19,P119,3,10
2025-08-19,P171,3,10
2025-08-19,P113,6,10
2025-08-19,P184,0,10
2025-08-19,P141,0,0
2025-08-19,P197,5,0
2025-08-19,P156,0,0
2025-08-19,P142,6,0
2025-08-19,P138,1,10
2025-08-19,P157,0,10
2025-08-19,P153,6,5
2025-08-19,P169,0,0
2025-08-19,P108,1,0
2025-08-19,P142,1,0
2025-08-19,P137,3,0
2025-08-19,P180,3,0
2025-08-19,P195,0,5
2025-08-19,P139,3,5
2025-08-19,P110,4,0
2025-08-19,P113,2,0
2025-08-19,P174,0,5
2025-08-19,P192,1,0
2025-08-19,P190,4,5
2025-08-19,P199,3,5
2025-08-19,P168,3,0
2025-08-19,P143,3,0
2025-08-19,P111,2,5
2025-08-19,P181,0,10
2025-08-19,P141,3,10
2025-08-19,P190,1,10
2025-08-19,P167,4,10
2025-08-19,P115,4,5
2025-08-19,P103,5,5
2025-08-19,P165,5,0
2025-08-19,P167,4,5
2025-08-19,P171,3,0
2025-08-19,P115,4,5
2025-08-19,P103,1,5
2025-08-19,P118,2,0
2025-08-19,P187,5,5
2025-08-19,P136,0,10
2025-08-19,P140,4,0
2025-08-19,P128,4,5
2025-08-19,P184,3,0
2025-08-19,P153,2,5
2025-08-19,P115,1,10
2025-08-19,P182,4,10
2025-08-19,P106,4,0
2025-08-19,P178,1,5
2025-08-19,P110,1,0
2025-08-19,P111,0,0
2025-08-19,P159,2,0
2025-08-19,P128,4,0
2025-08-19,P140,1,0
2025-08-19,P131,6,5
2025-08-19,P153,4,0
2025-08-19,P100,2,10
2025-08-19,P182,0,0
2025-08-19,P198,2,10
2025-08-19,P178,2,0
2025-08-19,P114,6,10
2025-08-19,P173,3,5
2025-08-19,P143,2,0
2025-08-19,P177,5,0
2025-08-19,P117,0,0
2025-08-19,P165,1,0
2025-08-19,P102,2,0
2025-08-19,P112,5,5
2025-08-19,P188,8,0
2025-08-19,P134,3,0
2025-08-19,P177,4,0
2025-08-19,P184,3,5
2025-08-19,P176,0,0
2025-08-19,P111,4,0
2025-08-19,P119,1,0
2025-08-19,P117,1,5
2025-08-19,P158,4,10
2025-08-19,P172,2,5
2025-08-19,P175,3,5
2025-08-19,P128,3,10
2025-08-19,P177,1,10
2025-08-19,P151,0,5
2025-08-19,P139,4,10
2025-08-19,P173,0,0
2025-08-19,P131,3,0
2025-08-19,P122,3,0
2025-08-19,P167,1,5
2025-08-19,P192,2,0
2025-08-19,P114,0,10
2025-08-19,P172,0,0
2025-08-19,P153,1,5
2025-08-19,P177,2,10
2025-08-19,P143,0,0
2025-08-19,P172,1,0
2025-08-19,P194,0,0
2025-08-19,P197,2,0
2025-08-19,P173,2,0
2025-08-19,P199,2,0
2025-08-19,P136,6,10
2025-08-19,P153,3,10
2025-08-19,P169,1,5
2025-08-19,P158,1,10
2025-08-19,P121,3,0
2025-08-19,P145,4,0
2025-08-19,P171,1,0
2025-08-19,P152,3,5
2025-08-19,P144,3,10
2025-08-19,P189,1,0
2025-08-19,P184,2,10
2025-08-19,P109,4,0
2025-08-19,P178,7,0
2025-08-19,P153,2,10
2025-08-19,P186,2,5
2025-08-19,P172,3,0
2025-08-19,P180,1,5
2025-08-19,P110,2,5
2025-08-19,P122,3,0
2025-08-19,P161,2,5
2025-08-19,P109,0,5
2025-08-19,P184,1,0
2025-08-19,P105,5,0
2025-08-19,P137,5,5
2025-08-19,P132,3,10
2025-08-19,P164,3,5
2025-08-19,P110,2,5
2025-08-19,P132,2,10
2025-08-19,P197,2,0
2025-08-19,P199,0,0
2025-08-19,P126,1,0
2025-08-19,P144,4,0
2025-08-19,P100,0,0
2025-08-19,P192,0,0
2025-08-19,P153,0,5
2025-08-19,P126,0,0
2025-08-19,P186,5,0
2025-08-19,P130,4,5
2025-08-19,P116,0,0
2025-08-19,P134,1,10
2025-08-19,P129,0,10
2025-08-19,P162,3,0
2025-08-19,P116,3,5
2025-08-19,P121,3,0
2025-08-19,P133,6,5
2025-08-19,P136,6,10
2025-08-19,P195,4,0
2025-08-19,P188,5,10
2025-08-19,P194,0,5
2025-08-19,P107,1,0
2025-08-19,P156,2,5
2025-08-19,P128,0,0
2025-08-19,P108,8,10
2025-08-19,P108,1,0
2025-08-19,P190,2,0
2025-08-19,P100,1,5
2025-08-19,P171,2,0
2025-08-19,P124,0,0
2025-08-19,P192,0,0
2025-08-19,P174,1,0
2025-08-19,P173,6,10
2025-08-19,P130,7,10
2025-08-19,P156,1,0
2025-08-19,P115,4,0
2025-08-19,P123,4,5
2025-08-19,P122,4,10
2025-08-19,P123,3,0
2025-08-19,P145,4,0
2025-08-19,P168,2,10
2025-08-19,P110,7,5
2025-08-19,P192,0,10
2025-08-19,P145,3,5
2025-08-19,P137,1,0
2025-08-19,P184,0,10
2025-08-19,P126,0,5
2025-08-19,P150,1,5
2025-08-19,P191,0,10
2025-08-19,P113,3,10
2025-08-19,P126,1,0
2025-08-19,P101,6,0
2025-08-19,P142,0,10
2025-08-19,P149,3,0
2025-08-19,P103,6,0
2025-08-19,P104,0,5
2025-08-19,P170,3,10
2025-08-19,P139,0,10
2025-08-19,P190,2,5
2025-08-19,P184,0,0
2025-08-19,P105,5,5
2025-08-19,P178,6,5
2025-08-19,P152,1,0
2025-08-19,P190,3,5
2025-08-19,P125,6,5
2025-08-19,P133,3,0
2025-08-19,P148,1,0
2025-08-19,P134,4,0
2025-08-19,P100,0,10
2025-08-19,P102,0,0
2025-08-19,P166,0,10
2025-08-19,P197,0,10
2025-08-19,P114,3,5
2025-08-19,P192,5,0
2025-08-19,P107,1,5
2025-08-19,P104,2,5
2025-08-19,P187,0,0
2025-08-19,P103,4,10
2025-08-19,P143,1,10
2025-08-19,P170,4,0
2025-08-19,P182,1,5
2025-08-19,P117,4,5
2025-08-19,P124,5,5
2025-08-19,P177,4,5
2025-08-19,P129,4,0
2025-08-19,P143,2,0
2025-08-19,P103,2,0
2025-08-19,P158,1,5
2025-08-19,P148,0,0
2025-08-19,P146,4,10
2025-08-19,P153,3,5
2025-08-19,P197,0,10
2025-08-19,P108,6,0
2025-08-19,P177,0,0
2025-08-19,P145,0,10
2025-08-19,P193,2,10
2025-08-19,P152,4,10
2025-08-19,P168,3,0
2025-08-19,P120,3,5
2025-08-19,P111,2,5
2025-08-19,P188,1,0
2025-08-19,P179,5,5
2025-08-19,P130,1,0
2025-08-19,P154,3,0
2025-08-19,P132,0,5
2025-08-19,P155,4,5
2025-08-19,P106,3,0
2025-08-19,P146,1,0
2025-08-19,P189,2,10
2025-08-19,P190,2,10
2025-08-19,P187,4,0
2025-08-19,P173,0,10
2025-08-19,P131,0,0
2025-08-19,P129,4,0
2025-08-19,P190,0,10
2025-08-19,P101,4,0
2025-08-19,P105,4,0
2025-08-19,P169,3,10
2025-08-19,P141,0,5
2025-08-19,P125,3,0
2025-08-19,P111,1,0
2025-08-19,P166,2,0
2025-08-19,P147,4,5
2025-08-19,P162,1,5
2025-08-19,P112,4,0
2025-08-19,P153,2,10
2025-08-19,P164,1,0
2025-08-19,P166,1,10
2025-08-19,P123,2,5
2025-08-19,P101,2,5
2025-08-19,P195,4,5
2025-08-19,P189,10,0
2025-08-19,P105,4,10
2025-08-19,P193,2,0
2025-08-19,P150,0,5
2025-08-19,P197,4,5
2025-08-19,P134,0,0
2025-08-19,P182,2,10
2025-08-19,P111,0,0
2025-08-19,P115,5,0
2025-08-19,P137,4,0
2025-08-19,P117,0,0
2025-08-19,P142,6,10
2025-08-19,P177,3,5
2025-08-19,P125,3,0
2025-08-19,P166,3,0
2025-08-19,P102,0,0
2025-08-19,P185,1,0
2025-08-19,P150,2,5
2025-08-19,P193,6,5
2025-08-19,P144,4,5
2025-08-19,P187,2,0
2025-08-19,P198,3,0
2025-08-19,P123,5,5
2025-08-19,P139,0,0
2025-08-19,P152,0,0
2025-08-19,P162,5,0
2025-08-19,P139,2,10
2025-08-19,P169,1,10
2025-08-19,P117,1,10
2025-08-19,P153,3,0
2025-08-19,P124,3,0
2025-08-19,P174,4,0
2025-08-19,P171,4,0
2025-08-19,P138,2,5
2025-08-19,P171,4,0
2025-08-19,P121,4,0
2025-08-19,P164,4,0
2025-08-19,P103,4,10
2025-08-19,P194,1,0
2025-08-19,P145,2,0
2025-08-19,P173,1,0
2025-08-19,P152,0,10
2025-08-19,P196,0,0
2025-08-19,P128,6,10
2025-08-19,P164,3,0
2025-08-19,P196,3,0
2025-08-19,P154,3,0
2025-08-19,P147,2,0
2025-08-19,P141,3,10
2025-08-19,P162,3,0
2025-08-19,P177,2,0
2025-08-19,P196,3,5
2025-08-19,P191,0,0
2025-08-19,P191,5,0
2025-08-19,P164,0,0
2025-08-19,P142,2,0
2025-08-19,P128,1,0
2025-08-19,P155,5,5
2025-08-19,P122,1,5
2025-08-19,P106,2,10
2025-08-19,P146,1,5
2025-08-19,P187,2,0
2025-08-19,P185,2,10
2025-08-19,P146,1,0
2025-08-19,P130,1,0
2025-08-19,P127,7,0
